cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
30031,320,320,1070,DEPARTAMENTO DE FISICA,Laboratorio de difracción de rayos X,EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627-
3393237",,,,,,,,hernan.colorado@correounivalle.edu.co,"Ensayo por difracción de Rayos X para muestras en bloque o polvo. Diagnostico cualitativo de posibles fases. Refinamiento por método Rietveld para diagnostico cuantitativo de fases, tamaños de cristalito, parámetros de red, peso formula, volumen de celda unitario, entre otros. 
Toma de difractogramas a muestras policristalinas en polvo y en bloque en configuración Bragg Brentano con análisis cualitativo y semicuantitativo de fases para determinar, tamaño de cristal, microtensiones, textura, orientación preferencial y estrés, entre otros. Medidas a muestras en bloque o en películas delgadas, tales como, haz rasante, reflectividad, textura, esfuerzos, y mapas polares. ",,,,,2010,57,5,10,30,"20,80%",,76,Si (2)
30032,320,320,3014,DEPARTAMENTO DE FISICA,Laboratorio de Transiciones de Fase,EXTENSIÓN E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,3307627,,,,,,,,jesus.diosa@correounivalle.edu.co,"Desarrollo de conductores iónicos de compuestos (orgánicos e inorgánicos), Fisica de Materiales, Fisica del Estado Solido, Transiciones de Fases.  Se realizan medidas de DSC, TGA, Impedancimetro.",,,,,1982,132,15,16,30,"29,21%",,76,estudiantes
30033,320,320,3017,DEPARTAMENTO DE FISICA,Laboratorio de Física Ambiental,DOCENCIA Y EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394610",,,,,,,,orlando.zuniga@correounivalle.edu.co,"El laboratorio usa la Tecnología Agroambiental para la solución de problemas como degradación de los suelos por fenomenos de erosión y salinización. Mediante el uso de sonda electrotérmica (patentada) se determina la conductividad térmica de materiales proporcionados por estudiantes de programas de pregrado y posgrado de las escuelas de Ingeniería de Materiales, de Ingeniería Civil y La Escuela de Ingeniería de los Recursos Naturales y del Ambiente.  ",,,,,,"58,32",8,10,40,"22,26%",,76,Si (6)
30034,320,320,3019,DEPARTAMENTO DE FISICA,Laboratorio de Docencia en Física tercer piso,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394610",,,,,,,,eval.baca@correounivalle.edu.co,"El laboratorio realiza prácticas académicas en asignaturas de: Laboratorio de Física Moderna I, Laboratorio de Física Moderna II, Laboratorio de Física Moderna III; Laboratorio Avanzado para postgrado.",,,,,,108,15,20,12,"12,00%",,76,Si (1)
30035,320,320,4070,DEPARTAMENTO DE FISICA,Laboratorio de Espectrometría Mossbauer,INVESTIGACIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394610",,,lab.mossbauer@correounivalle.edu.co,,,,,jesus.tabares@correounivalle.edu.co,Caracterización de las interacciones hiperfinas  de núcleos de Fe57 en materiales férreos mdiante espectroscopía Mössbauer con fuente de Co57. Obtención de las fases magnéticas de muestras a base de hierro. Estudios de corrosión de superficies de materiales férreos. Estudio de nanomateriales a base de hierro.,,,,,1992,"73,5",8,25,168,"10,76%",,76,estudiantes
30036,320,320,3013,DEPARTAMENTO DE FISICA,Laboratorio de Películas Delgadas y  Nanoestructuras,INVESTIGACIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394610",,,gustavo.zambrano@correounivalle.edu.co,,,,,maria.gomez@correounivalle.edu.co,"Utilizando técnica pulverización catódica (sputtering) e crecen capas delgadas de materiales óxidos y recubrimientos (coatings) de nitruros de metales de transición y materiales óxidos.  Se procesan materiales óxidos en bloque por proceso de sinterización térmica. Se procesan materiales óxidos por síntesis química para producir nanopartículas.  Se miden propiedades eléctricas R(T), isotermas I(V), de capas delgadas y su dependencia con temperatura. Se miden propiedades ferroeléctricas en capas delgadas. Se observa la morfología de materiales por microscopía óptica. Se usa interferometría Zender para caraterizar partículas magnéticas de tamanño nanométrico",,,,,1978,,2,14,48,"79,00%",Ganador de convocatoria 001,76,estudiantes
30037,320,320,4076,DEPARTAMENTO DE FISICA,Laboratorio Quan TIC,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394610",,,,,,,,john.reina@correounivalle.edu.co,"La investigación en QuanTIC está centrada en el área de la física teórica y computacional y de la física aplicada al procesamiento de información en diferentes nanotecnologías. Por un lado ha existido un especial interés por los aspectos fundamentales de la mecánica cuántica  y por la fenomenología de procesos dinámicos disipativos. Por otra parte, se estudian aplicaciones e implementaciones de protocolos de transmisión y control de información a nivel atómico y molecular en dispositivos nano-estructurados tanto orgánicos como inorgánicos (por ej., polímeros y moléculas artificiales) y en sistemas biológicos y nanosistemas.",,,,,2005,"100,44",11,14,40,"19,75%",,76,estudiantes
30038,320,320,2134,DEPARTAMENTO DE FISICA,Laboratorio de cómputo de Física Teórica,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,"Desarrolla actividades investigativas en el campo de la Física de la Materia condensada. En sus inicios, el grupo de Física Teórica del Estado Sólido desarrolló investigaciones en la línea de sistemas semiconductores de baja dimensionalidad, tales como pozos, hilos y puntos cuánticos, al igual que superredes semiconductoras. En los últimos tres años aproximadamente, el grupo ha venido desarrollando la línea de cristales fotónicos, a través de la implementación de cálculos de estructuras de bandas fotónicas en materiales compuestos que presentan constante dieléctrica y permeabilidad magnética con dependencia espacial periódica y considerando también su dependencia con la frecuencia, lo cual permite ampliar el estudio a sistemas fotónicos con índice de refracción negativo, es decir, metamateriales.",,,,,,,14,14,168,"10,95%",,76,estudiantes
30039,320,320,4079,DEPARTAMENTO DE FISICA,Laboratorio de Óptica Cuántica,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,"Actividad de investigación: Diseño y construcción de láseres, Caracterización Óptica de Materiales, Espectroscopía de fluorescencia, Espectroscopía Láser de moléculas y superficies

Actividades de extensión: se diseñan y construyen experimentos, guías de trabajo, presentaciones y materiales de estudio, para promover la ciencia óptica y el láser, dirigido a niños de escuela primaria y a profesores de ciencias  de primaria y secundaria.",,,,,1994,30,5,10,40,"12,89%",,76,estudiantes
30040,320,320,4075,DEPARTAMENTO DE FISICA,Laboratorio de Instrumentación y Física Aplicada,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,"Desarrollo de transductores inteligentes, diseño de sistemas digitales y transmisión de datos. Equipo de última generación para laboratorio de docencia e investigación. Técnicas (p.ej., geoeléctrica, electrotérmica y capacitancia) aplicadas en ciencias ambientales y de la tierra.",,,,,,62,6,8,168,"15,69%",,76,estudiantes
30041,320,320,4065,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Docencia de Biología Marina,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,andres.carmona@correounivalle.edu.co,"El laboratorio presta apoyo a las asignaturas de: Ecología Marina, Ecología de Arrecifes, Invertebrados Marinos, Ecología de Poblaciones Marinas, Ictiología, Introducción a la Acuacultura, Piscicultura, Introducción a al Biología Marina, Estuarios y manglares.",,,,,,"31,7",16,18,25,"37,10%",,76,Si (1)
30042,320,320,2034,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Microbiología Industrial y Ambiental,EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,luis.e.mora@correounivalle.edu.co,"El laboratorio  aporta su Know How e infraestructura en el planteamiento de soluciones a las necesidades particulares de medición en diferentes matrices aplicables a la microbiología industrial, de alimentos, farmacéutica y ambiental. ",,,,,1995,,,,,"40,40%",Ganador de convocatoria 001,76,Si (4)
30043,320,320,4061,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Ecología de Ecosistemas Rocosos,DOCENCIA E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,edgardo.londono@correounivalle.edu.co,"El laboratorio presta servicio al grupo de investigación de Ecología de Ecosistemas Rocosos Litorales. Se presta consultoría a entidades públicas y privadas para estudios de impacto ambiental marino e identificación de espacies marinas. Presta apoyo a cursos de pregrado en Invertebrados Marinos, Biología de Poblaciones Marinas y Diseños Experimental.",,,,,,,10,10,40,"11,13%",,76,estudiantes
30044,320,320,4055,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Malacología,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jaime.cantera@correounivalle.edu.co,El laboratorio presta servicio al grupo de investigación de Ecología de Estuarios y Manglares. Se presta consultoria a entidades publicas y privadas para estudios de impacto ambiental marino e identificación de especies marinas.,,,,,,"23,3",8,10,40,"23,00%",,76,estudiantes
30045,320,320,3093,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Botánica y Fisiología Vegetal,DOCENCIA E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,enrique.pena@correounivalle.edu.co,Identificación y caracterización taxonómica de algas y plantas acuáticas. Curaduría y preparación de muestras vegetales para herbario. Aislamiento y mantenimiento de cepas de algas. Preparación de medios de cultivo para crecimiento de algas. Calibración de equipos del área de fisiología vegetal. Pruebas de actividad de la fotosíntesis. Pruebas de germinacion de semillas. Las asignaturas que se dictan en el laboratorio son: Fisiología Vegetal y Ficologia General.,,,,,,"61,39",12,20,40,"42,00%",,76,estudiantes
30046,320,320,3096,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Investigaciones Microbiológicas,INVESTIGACIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,neyla.benitez@correounivalle.edu.co,"El laboratorio realiza investigaciones en el área de microbiología, micología y fitopatología.",,,,,,"90,17",10,10,40,"65,15%",,76,estudiantes
30047,x 320,x 320,x (no se encuentra en visita de campo),DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Semillas,DOCENCIA E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,alba.torres@correounivalle.edu.co,El laboratorio se enfonca en la biología y sanidad de semillas.,,,,,,"44,7",2,6,40,"25,47%",,76,estudiantes
30048,320,320,3094,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio Microtecnia e Histología,EXTENSIÓN E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,enrique.pena@correounivalle.edu.co,"Se realizan prácticas académicas correspondientes a las asignaturas de laboratorio de: Fisiología vegetal, Ficología, Biorremediación. Investigaciones en el área de Fisiología Vegetal y Ficología.",,,,,,"23,1",8,12,40,"12,00%",,76,estudiantes
30049,358,358,"1002  (este no se encuentra)
Piso 1",DEPARTAMENTO DE BIOLOGÍA ,Propagación in vitro de Plantas y Hongos,"DOCENCIA
INVESTIGACIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ana.bolanos@correounivalle.edu.co,"Se realizan actividades en Biología y taxonomía de hongos Basidiomycetos, ademas de investigaciones in vitro con plantas en peligro de extinción. ",,,,,,"46,71",4,6,40,"12,84%",,76,estudiantes
30050,320,320,3028,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Ecología y Comportamiento de Insectos,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,inge.armbrecht@correounivalle.edu.co,"El laboratorio presta servicio a dos grupos de investigación: Biología, Ecología y Manejo de Hormigas y GEAHNA (Grupo de Estudio en Agroecología y Hábitats Naturales). En el edificio 320 se determina, cuantifica y sistematiza material de insectos y en el edificio 358 (Estación Experimental), se realiza la limpieza y separación de muestras provenientes de campo.",,,,,2000,"55,85",,16,60,"24,00%",,76,estudiantes
30051,320,320,3024,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Docencia - Entomología,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ranulfo.gonzalez@correounivalle.edu.co,"Se da apoyo en las asignaturas de: Entomología General, Entomología Médica, Entomología Forense,  Anatomía y Fisiología de Insectos, Ecología de Insectos, Agroecología, Insectos Sociales, Insectos Acuáticos, Taxonomía de Insectos Inmaduros, Taxonomía de grupos especiales.",,,,,,,,,,"83,45%",,76,Si (1)
30052,320,320,3030,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio GIE (Investigaciones Entomológicas),INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ranulfo.gonzalez@correounivalle.edu.co,"Investigaciones en el campo del estudio taxonómico de la biodiversidad de insectos: Ephemeroptera, Odonata, Hemiptera, Plecoptera y Diptera, principalmente. ",,,,,,,2,6,40,"5,83%",,76,estudiantes
30053,320,320,3037,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Imágenes,INVESTIGACIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,inge.armbrecht@correounivalle.edu.co,"En el laboratorio se toman imágenes en microscopía óptica y de fluorescencia con el microscopio Eclipse NI-90 -Nikon y en stereoscopio SMZ 1500 - Nikon, se toman fotos en cámara DS-RI1 - Nikon y se utiliza el paquete de manejo de imágenes Nis-elementos BR.",,,,,2013,28,2,8,40,"16,18%",,76,Si (1)
30054,320,320,4051,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Genética Molecular Humana,DOCENCIA INVESTIGACIÓN Y EXTENSIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,guillermo.barreto@correounivalle.edu.co,"En el laboratrio se realizan prácricas de biología molecular, tambien se realizan  pruebas de paternidad, identificación de individuos, así como diagnóstico  molecular de enfermedades genéticas, entre las cuales se cuentan: Cáncer de Mama y Ovario, Fibrosis Quística, Infertilidad Masculina, Leucemia Mieloide Crónica, Hiperplasia Suprarrenal Congénita, Anemia de Células Falciformes,",,,,,1997,112,2,20,52,"64,60%",,76,Si (1)
30055,320,320,4037,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Biología Molecular,DOCENCIA E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,nelson.toro@correounivalle.edu.co,"Se realizan prácticas en genética vegetal, asi como investigación en ecogenética y genética vegetal.
Actividades de investigación, Proyecto CiBioFi (Capsicum, áfidos, parasitoides y endosimbiontes), Proyecto Anastrepha, Proyecto Anolis",,,,,,,8,12,60,"8,75%",,76,Si (1)
30056,320,320,4039,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Biología Molecular de Microorganismos,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,esteban.osorio@correounivalle.edu.co,"Este laborarorio está concentrado en la investigación de las levaduras nativas de Colombia con la mirada en encontrar su potencial biotecnologico, especialmente en el campo agroindustrial.",,,,,,"47,52",2,4,4,"7,97%",,76,Si (1)
30057,320,320,4047,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Docencia Sección de Genética,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,nelson.toro@correounivalle.edu.co,"Se desarrollan prácficas de las asignaturas de: Biología molecular, Genética humana, Estructura y función cromosómica y  Laboratorio de genética general.",,,,,,38,12,18,8,"23,30%",,76,Si (1)
30058,320,320,3112,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Fisiología Animal,INVESTIGACIÓN  ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,andrea.nino@correounivalle.edu.co,"El laboratorio maneja la experimentación en el área de la fisiológica  animal, en especial con el grupo de los vertebrados. En este laboratorio se mantienen los individuos durante las etapas de medición de  variables metabólicas. Evaluación de tasas metabolicas de mamiferos por tecnicas de respirometria. En docencia: Fisiología animal y Actualizacion en topicos biologicos (Posgrado).",,,,,,"55,89",3,5,40,"29,93%",,76,estudiantes
30059,320,320,3123,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Preparaciones Biológicas (Vertebrados),DOCENCIA E INVESTIGACIÓN(MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,wilmar.bolivar@correounivalle.edu.co,"Preparación de material y equipos que llegan de campo de asignaturas como  Zoología de Vertebrados, Laboratorio de Zoología de Vertebrados, Ecología, Laboratorio de Ecología, Mastozoología, Ornitología, Análisis de datos biológicos, Historia Natural de los Vertebrados. Tambien se da la revisión de muestras de investigación.",,,,,,"42,15",16,20,40,"17,75%",,76,estudiantes
30060,320,320,2031-2021-2024-2026-2027-2028-2029,DEPARTAMENTO DE BIOLOGÍA ,Laboratorios de Docencia en  Biología segundo piso,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,yaneth.guevara@correounivalle.edu.co,"Se realizan prácticas académicas correspondientes a las asignaturas de laboratorio de: Biología celular y Bioquímica I, Biología celular y Bioquímica II, Biología general, Microbiología general, Fitopatología, Micología, Bótanica I, Bótanica II, Genética general, Fisiología animal, Ecología general, Zoología de invertebrados, Zoología de Artropódos, Zoología de vertebrados. ",,,,,1968,495,24,96,108,"63,80%",Laboratorio Piloto ,76,Si (1)
30061,320,320,4063,DEPARTAMENTO DE BIOLOGÍA ,Laboratorio de Ictiología (Sistemática y Evolución),INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,tavera.jose@gmail.com,"Revisión de material Ictico, extraccion de ADN, amplificacion de ADN de los peces.",,,,,,"27,07",8,8,40,"34,19%",,76,estudiantes
30062,320,320,3193,DEPARTAMENTO DE MATEMÁTICA,Laboratorio de cómputo Jurgen Tischer,"DOCENCIA
INVESTIGACIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jhon.duque@correounivalle.edu.co,"Apoya las labores de docencia directa en todas las asignaturas que ofrece el Departamento de Matemáticas, a nivel de pregrado y posgrado. 
Presta sus computadores, incluido un CLUSTER de alto rendimiento, para la realización de computación científica, principalmente en Álgebra y Ecuaciones Diferenciales.
Presta sus equipos para la realización de cursillos de capacitación docente en diveras temáticas de extensión (GeoGebra, Plan Talentos, Semilleros, etc).",,,,,1987,160,40,40,40,"22,17%",,76,Si (1)+T206:AG211B211T208:AT208:AG211
7001,x,x,N/A,FACULTAD DE CIENCIAS DE LA ADMINISTRACIÓN,Laboratorio Contable ,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 13 No 100-00,3212100,315 475 85 27,,,,,,,,yuly.klinger@correounivalle.edu.co,"Se desarrollan diversas asignaturas sobre el quehacer contable y financiero, siendo las de mayor impacto prácica contable en sus dos niveles.",,,,,,,20,25,,"11,3%",,,SI(2)
7002,x,x,N/A,FACULTAD DE CIENCIAS DE LA ADMINISTRACIÓN,Laboratorio de Idiomas ,DOCENCIA PREGRADO Y POSGRADO,SEDE SAN FERNADO,Calle 13 No 100-00,3212100,,,,,,,,,nelson.munoz@correounivalle.edu.co,"Cursos de inglés en todos los niveles para las carreras afines de la Facultad, de igual manera para fortalecimiento de otro idioma para la comundiad académica de la Universidad.
Práctica libre para el aprendizaje del Inglés, Francés ó Alemán.",,,,,2007,84,22,30,40,"11,8%",,,SI(2)
7003,x,x,N/A,FACULTAD DE CIENCIAS DE LA ADMINISTRACIÓN,Laboratorio de Simulación Empresarial Universitaria,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 13 No 100-00,3212100,,,,,,,,,sandra.riascos@correounivalle.edu.co,"Gestión de los sistemas de información y de las telecomunicaciones, informática, sistemas y comercio exterior, programación e internet, simulación en mercados electrónicos, creación de empresas, cursos de extensión.",,,,,2007,78,24,48,80,"15,5%",,,Si(1)
7004,387,387,2022,FACULTAD DE CIENCIAS SOCIALES Y ECONÓMICAS,Laboratorio de Estadística Social y Económica,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100, 3212100 Ext. 2335,,,,,,,,hector.ramirez@correounivalle.edu.co,"Orientado a brindar apoyo y asesoría técnica a los estudiantes que están realizando sus Tesis de Pregrado y Maestría, así como a los proyectos de investigación de los diferentes grupos y a las consultorías. 

De igual manera, el laboratorio coadyuva a la conformación, mantenimiento y administración de las bases de datos de los proyectos.
 
• Brinda docencia en el manejo de bases de datos y análisis estadísticos.",,,,,1976,,12,12,,"12,5%",,,Si (1)
8001,388,388,2024,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Observatorio De Democracia Y Participación Ciudadana,INVESTIGACIÓN Y EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,3392315,,,,,,,,jacara72@gmail.com,"Capacitación en Investigación a estudiantes de pregrado Desarrollo del Proyecto de Investigación Adecuaciones Institucionales del Sistema Democrático Colombiano: Participación Política de la Insurgencia en el posconflicto, Extensión: Diseño y realización de Diplomados, Participación en intervención Social, Implementación de actividades de Intervención con Instituciones del Estado, Sistematización de experiencias",,,,,2010,,5,6,30,"13,9%",,,Si(1)
8002,381,381,3016,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Laboratorio De Fisiología Del Deporte,"DOCENCIA PREGRADO, POSGRADO E INVESTIGACIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,francisco.amu@correounivalle.edu.co,"fisiología general, fisiología del ejercicio, antropometría fisica, teoría del movimiento, medicina del deporte, teoría del entrenamiento, atletismo, escuelas de formación deportiva, entre otros.",,,,,,,,,,"17,5%",,,Si(1)
8003,381,381,1008,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Laboratorio de Matemáticas,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,brandowilder777@gmail.com,"Seminario de Práctica Profesional (405079M, 405080M) Practica Profesional (405094M-405096M), Resolución de problemas en el contexto del Laboratorio de matemáticas, Diseño y Análisis de secuencias didácticas en matemáticas (405016M).",,,,,,34,20,30,30,"5,5%",,,SI(2)
8004,388,388,3005,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Laboratorio para la Enseñanza de las Ciencias Naturales,DOCENCIA PREGRADO,MELÉNDEZ,Calle 13 No 100-00,3212100,3315271,,,,,,,,miyerdady.marin @correounivalle.edu.co,"El laboratorio a pesar de sus limitaciones de infraestructura realiza apoyo pedagógico formativo a estudiantes de práctica profesional en su modalidad de “Los procesos de experimentación en el aula de ciencias naturales”. Dicha práctica aborda la necesidad de (re)estructurar los trabajos de laboratorio clásicos, por ello, diseñan y aplican intervenciones didácticas a estudiantes de la educación básica. Como también trabajos de grado en la línea de investigación “Relación teoría y práctica en el laboratorio escolar”.  Otra de las actividades formativas se ha encaminado a brindar orientación en la re(creación) de prototipos experimentales de bajo costo para la enseñanza de las ciencias naturales, en particular en química y biología. Así mismo, en el diseño de material didáctico impreso (guías didácticas y manual de construcción de prototipos experimentales), siendo estos herramientas indispensables en el proceso educativo, ya que permiten facilitar la enseñanza y potenciar el aprendizaje. ",,,,,2013,,,,23,"5,4%",,,SI(1)
8005,381,381,2008,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Laboratorio de Comunicación y Educación Popular,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,daniel.campo@correounivalle.edu.co,"Artesanías de la Producción Intelectual I y II / Herramientas para Pensar y Recrear I y II / Comunicación y Educación / Recreación y Comunicación / Estrategias de Comunicación Popular / Comunicación, Cultura y Movilización Social / Métodos y Materiales para la Educación Popular / Práctica Profesional I y II Programa de Recreación / Proyecto de Investigación I y II Programa de Recreación / Seminario de Investigación I y II Licenciatura en Educación Popular /  Electivas de Pregrado y Posgrado. ",,,,,,,,,,"17,5%",,,SI(2)
8006,381,381,2024,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Laboratorio de Recreación,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,3308990 Ext. 108,,,,,,,,maria.cristina.ruiz@correounivalle.edu.co,"Espacios de juego, creatividad y lecturas (410092M) Expresiòn Gràfico-plàstica y Recreaciòn (410060M) Recreaciòn y Expresion Lùdico Musical ( 410080M) Tìteres y Lenguajes Lùdico Creativos (410086M) , Recreaciòn y juegos dramàticos (4100XXM ), Fundamentos del Juego y la creatividad 1 (410037M ), Recreaciòn y danza (410XXM ), Fundamentaciòn Antropològica del Juguete (410036M) Reeducaciòn de Grupos de Alto Riesgo (410067M ) Ideologìa politica y vida cotidiana",,,,,1996,,30,50,15,"27,4%",,,SI(1)
8007,381,381,1013,INSTITUTO DE EDUCACIÓN Y PEDAGOGÍA,Laboratorio De Acondicionamiento Físico,DOCENCIA PREGRADO E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,3308822,,,enlaraor@hotmail.com,,,,,,"Acondicionamiento Físico para la salud, Fitness y Acondicionamiento Físico I, II y III, Metodología para el trabajo en gimnasios, Deporte Fundamental Gimnasia, Didáctica Deporte Individual Gimnasia, Seminario Deporte o Recreación I y II Gimnasia, Metodología del Ejercicio en el adulto mayor, Crecimiento y Desarrollo.",,,,,,,5,8,10,"27,4%",,,SI(1)
9001,388,388,4047,INSTITUTO DE PSICOLOGÍA,Pruebas Psicologicas,DOCENCIA PREGRADO Y POSGRADO,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,"Es como anexo de una biblioteca, es un archivo de pruebas. Es manejado por un docente del área clínica. La proyección con el plan de desrrollo  es tener una reestructuración con un profesional para aplicación de pruebas. En el momento extensión hace uso de las pruebas para procesos de selección. Docencia para cursos espcializados, formaci´pn de estudiantes y pre y posgrado",,,,,,,,,,"5,0%",,"Se tiene un monitor, se tienen fichas para el préstamo a estudiante, docentes y egresados con un procedimiento especial.",SI(2)
9002,388,388,4017,INSTITUTO DE PSICOLOGÍA,Laboratorio de procesos básicos,"DOCENCIA PREGRADO Y POSGRADO,  ",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,,"Laboratorio de análisis de datos que pueden ser cualitativos o cuantitativos.  El curso de staistiva de pregrado, metodologia cuantitavia de la maesgtria, para doctorado para el trabajo de docencia se usa el software de tipo cualitativo. Es una sala dodne los proyectos de investigación se analiza (análsisi de datos). Servicios de extensión enfocados a la docencia y convenio con universidades para análisis de datos. Asesoría con ayuda del monitor a los estudiantes para el manejo de datos, construcción de bases de datos, análisis estadisticos e inferenciales.
La cámara de gessel la usan para docencia.
Una de las principales actividades es enseñar le manejo de spss nen todos los niveles, pregrado, maestría y doctorado. Además hacen cuross de veranointensivos para docentes y estudiantes en el manejo de spss, son cursos gratuitos y es para nueve personas. Se han teneido participación en proyectos de extensión en la formación de docentes de las Sedes Regionales, y se uso el modulo de spss como ejemplo para la enseñanza de las matematicas ",,,,,,15,9,9,5,"18,3%",,"es una sala de 2x6 esta dividida de una cámar a de gessel, y en el otro espacio donde no esta la intervención tienen 9 computarodes de, el fuerte es el software de análisis de datos ibm_spss, es un paquete de análisis estadistico para ciencias sociales , atlas ti sofware cualitativos, observer cualtiativo para registro de video  puede ser on line y off line, matematica es un paquete estadítico pero no se usa mucho. ",SI(1)
